#{"t_start": 1715403508.6148431, "env_id": "None"}
r,l,t
7676.795729,6,34.593045
7280.137561,6,34.603054
7178.10928,6,34.609395
7672.481556,6,34.614851
7574.580755,6,34.62085
7778.374339,6,34.624358
7673.489398,6,34.628362
6476.802259,6,34.632972
6681.622535,6,34.638881
7375.431475,6,34.645398
8478.962013,6,34.649397
6677.236118,6,34.653002
6275.557509,6,34.656911
6978.107621,6,34.661911
7579.865933,6,34.66593
8179.006217,6,34.67093
6176.169007,6,34.676465
6876.35064,6,34.681465
8070.250863,6,34.689008
7087.009046,6,34.697547
7178.97242,6,34.704077
6577.443858,6,34.709073
6377.42661,6,34.715007
6579.412166,6,34.718987
7776.95903,6,34.723006
6879.003433,6,34.726597
7471.859741,6,34.730682
7074.698595,6,34.734309
6876.902799,6,34.738358
7378.624505,6,34.741374
7675.241084,6,34.746964
7077.171224,6,34.750887
7077.081679,6,34.755068
6881.243804,6,34.759081
6678.08475,6,34.762669
7375.470448,6,34.766356
7782.110977,6,34.770261
6979.428369,6,34.774768
7984.302655,6,34.778773
7777.855166,6,34.781773
7677.969374,6,34.788363
8877.314599,6,34.793856
7175.391626,6,34.799953
7082.490165,6,34.804464
6375.486236,6,34.810477
8873.462238,6,34.815063
6272.634569,6,34.820143
7176.450919,6,34.823747
7876.403796,6,34.828856
6874.008604,6,34.832848
6476.222053,6,34.83745
6374.679216,6,34.841449
6686.935601,6,34.847045
7279.280818,6,34.851964
6776.499617,6,34.856097
6579.845038,6,34.861092
7378.482321,6,34.865104
7375.653065,6,34.869206
7576.689954,6,34.873769
6378.365043,6,34.877765
6285.855232,6,34.880769
7480.156895,6,34.885335
6480.295379,6,34.888333
7177.613365,6,34.892813
6479.445121,6,34.89782
6878.700516,6,34.902821
7275.877219,6,34.90834
7481.691184,6,34.914877
7578.139022,6,34.91996
7074.140086,6,34.924399
7976.41007,6,34.929481
6779.273917,6,34.933165
6675.493598,6,34.939089
7475.552267,6,34.943551
7376.064291,6,34.948558
6879.276451,6,34.954087
7180.509241,6,34.959111
6876.791599,6,34.965898
7376.22555,6,34.97194
7087.851952,6,34.978622
7675.953685,6,34.981628
6476.195226,6,34.987223
6774.558384,6,34.991224
6779.856986,6,34.996823
7583.003029,6,35.001783
6974.458534,6,35.006502
6679.01639,6,35.010459
7679.424563,6,35.014201
7276.244326,6,35.019112
7478.268542,6,35.024774
7883.018483,6,35.028855
7474.129267,6,35.033449
7179.057229,6,35.037541
6577.564411,6,35.041538
6978.230107,6,35.047167
7478.518042,6,35.051086
7178.601663,6,35.055858
6271.609442,6,35.060863
7381.305047,6,35.065207
7385.035518,6,35.070216
7078.785702,6,35.073897
6972.331363,6,35.078908
7075.90344,6,35.082897
6670.93396,6,35.129227
7771.418525,6,35.139755
7278.146897,6,35.150273
6675.090291,6,35.16297
7276.152586,6,35.169904
6983.280519,6,35.193455
7877.669828,6,35.204007
7478.139591,6,35.211998
8176.584716,6,35.219516
7274.325476,6,35.22804
7176.81443,6,35.234149
7277.248433,6,35.240144
6573.148984,6,35.246387
6373.408644,6,35.250387
7472.490145,6,35.255967
7775.827416,6,35.259968
7074.751896,6,35.265052
6981.533132,6,35.27006
7075.304962,6,35.274571
7178.098345,6,35.279573
7278.356926,6,35.284091
6681.520773,6,35.289091
6477.915165,6,35.293602
7077.76811,6,35.299613
7287.930751,6,35.305134
6979.609485,6,35.309133
5873.126019,6,35.314697
7976.294448,6,35.319699
6284.149788,6,35.324217
7777.097868,6,35.330216
6079.004865,6,35.33474
8077.603133,6,35.340739
7077.780081,6,35.347812
6679.918148,6,35.35334
6977.544668,6,35.358351
6973.580697,6,35.36387
7383.510027,6,35.368874
8274.300637,6,35.374397
7572.487095,6,35.381397
7078.721033,6,35.388929
6279.988964,6,35.393422
8576.566867,6,35.401439
7975.819486,6,35.407964
6783.906657,6,35.41555
7176.647175,6,35.420553
6876.122957,6,35.425123
7273.119448,6,35.430095
7475.023564,6,35.436688
7477.417498,6,35.442687
7775.141342,6,35.450201
8175.016463,6,35.457764
7975.561651,6,35.464433
6675.897477,6,35.46944
7676.102282,6,35.474977
6773.030611,6,35.482032
7479.237532,6,35.488629
7674.203215,6,35.495141
7273.683796,6,35.500215
7281.317925,6,35.506239
7375.157695,6,35.513889
7576.987145,6,35.518857
6577.287822,6,35.524563
7384.017997,6,35.530605
7378.8116,6,35.535212
6577.213596,6,35.540289
7777.400631,6,35.544812
7481.3524,6,35.549913
8675.715575,6,35.556469
7287.50473,6,35.564987
6980.259285,6,35.573043
8074.725195,6,35.580289
7674.755718,6,35.587806
7081.156476,6,35.593812
6775.626139,6,35.600719
8174.184485,6,35.609023
7080.109786,6,35.61666
6877.117947,6,35.624308
7676.430209,6,35.631361
6572.605103,6,35.640444
7079.68842,6,35.647517
5875.40053,6,35.653939
6676.517198,6,35.658181
6582.761188,6,35.662801
7177.364284,6,35.667745
7174.937658,6,35.673247
7378.096732,6,35.678276
7675.751635,6,35.682872
7880.858329,6,35.687766
7685.14751,6,35.691766
7977.422861,6,35.696281
7578.468623,6,35.701282
7378.219924,6,35.706837
7679.266567,6,35.711843
6572.337138,6,35.719005
7577.426161,6,35.724789
7077.197655,6,35.732055
6673.555502,6,35.737569
7277.020137,6,35.742092
7578.660903,6,35.754115
8282.723795,6,35.764088
7375.184018,6,35.772088
7683.240646,6,35.781538
6878.256277,6,35.789057
8178.655427,6,35.794568
8476.285069,6,35.80057
7576.797039,6,35.808099
6678.78479,6,35.813601
6678.58608,6,35.819658
7075.497297,6,35.826139
5780.290854,6,35.832152
7981.102257,6,35.837668
7076.316325,6,35.841666
6779.454457,6,35.848189
7681.343944,6,35.853701
6877.818824,6,35.859706
7182.233295,6,35.865229
6074.258658,6,35.87123
6078.844052,6,35.875745
6881.683379,6,35.880744
7089.105318,6,35.886257
6387.197318,6,35.891255
7877.382544,6,35.89678
6575.817701,6,35.900768
6880.356964,6,35.906284
6575.652708,6,35.911285
6772.824342,6,35.916817
7376.134692,6,35.921818
8075.706621,6,35.928357
7373.323539,6,35.933847
6271.791287,6,35.941855
6279.041036,6,35.951391
8281.17354,6,35.963959
8479.079344,6,35.972962
7574.880945,6,35.980476
8373.691307,6,35.987
8478.84752,6,35.997521
6276.477911,6,36.007193
7087.161285,6,36.015236
7376.005373,6,36.022728
7081.038654,6,36.02974
7981.366192,6,36.03681
6975.944404,6,36.04331
6974.068029,6,36.049316
6776.360335,6,36.055834
7476.849249,6,36.062831
6674.339955,6,36.07022
7679.487445,6,36.07774
7475.412495,6,36.085991
7180.506304,6,36.091989
6780.046849,6,36.097512
8674.348376,6,36.105034
6979.01237,6,36.113566
6879.263624,6,36.117594
6980.229178,6,36.123155
7180.652823,6,36.129125
6476.427055,6,36.13365
6377.295201,6,36.139675
6673.941345,6,36.145196
7178.030847,6,36.15019
6878.632582,6,36.156713
7286.480323,6,36.161737
7789.177759,6,36.167241
7572.521184,6,36.174753
6878.746793,6,36.180758
6972.173901,6,36.186271
7177.078407,6,36.190271
6479.235112,6,36.196865
7177.679171,6,36.2008
6277.534036,6,36.207386
8077.533466,6,36.214896
6576.123096,6,36.218901
7079.336828,6,36.224415
6473.422289,6,36.231442
6483.771999,6,36.237954
6679.040247,6,36.2455
6776.738576,6,36.250482
7182.751298,6,36.256005
7177.831662,6,36.263008
6482.814575,6,36.267521
6876.947161,6,36.274031
6879.383701,6,36.280055
6975.685276,6,36.28616
7280.623365,6,36.291178
6973.885267,6,36.297723
7777.260556,6,36.304228
7180.44192,6,36.309247
6675.710805,6,36.31474
7473.986209,6,36.321742
6077.393483,6,36.327261
6986.081333,6,36.331343
7875.344029,6,36.336903
7473.573707,6,36.341914
6675.319482,6,36.347409
7375.558314,6,36.352967
8080.71288,6,36.356932
6877.83238,6,36.361933
7879.488832,6,36.367453
7576.627156,6,36.373969
7485.961932,6,36.37897
6883.109328,6,36.384498
7674.856094,6,36.390497
6676.45787,6,36.396015
6574.361273,6,36.401015
6476.018504,6,36.406549
7476.73925,6,36.410564
7080.994669,6,36.415105
7077.086514,6,36.420106
6285.421865,6,36.424336
6979.096488,6,36.430285
6974.781967,6,36.435881
7379.944841,6,36.441887
8271.568786,6,36.448468
8479.696602,6,36.453912
7475.809288,6,36.458911
7775.802175,6,36.463609
8280.644086,6,36.467714
6675.001347,6,36.472614
7175.555392,6,36.477908
8079.030137,6,36.482899
7573.111401,6,36.486573
8083.287421,6,36.490567
7673.473776,6,36.496121
8283.823334,6,36.500172
6574.012279,6,36.506735
8582.610293,6,36.510856
8476.114392,6,36.516409
7477.394979,6,36.521413
7474.20978,6,36.52608
7473.736771,6,36.531045
7182.104095,6,36.536661
7873.575095,6,36.542659
6875.674535,6,36.548182
6484.698464,6,36.553711
6874.159665,6,36.558708
7875.73443,6,36.563322
7178.165654,6,36.568233
8578.505022,6,36.572855
7273.731868,6,36.578748
